latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
14.991094,100.446609,339.72,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,292.39,4.45,D,0
15.454082,103.121086,335.62,0.46,0.39,2019-04-01,0609,N,VIIRS,l,1,298.29,4.03,D,0
15.33997,102.437508,335.41,0.5,0.41,2019-04-01,0609,N,VIIRS,n,1,301.8,6.85,D,0
14.633307,98.458771,339.43,0.6,0.53,2019-04-01,0609,N,VIIRS,n,1,289.33,8.88,D,0
14.984441,100.26046,331.17,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,285.7,3.89,D,0
14.698898,98.678055,334.19,0.58,0.52,2019-04-01,0609,N,VIIRS,n,1,294.82,3.79,D,0
15.392079,102.611877,335.14,0.49,0.4,2019-04-01,0609,N,VIIRS,n,1,299.4,2.21,D,0
14.63039,98.457283,331.61,0.6,0.53,2019-04-01,0609,N,VIIRS,n,1,289.82,9.35,D,0
14.986373,100.260437,337.77,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,285.76,4.5,D,0
14.703312,98.679962,367,0.58,0.52,2019-04-01,0609,N,VIIRS,h,1,297.57,17.02,D,0
15.015558,100.250595,334.99,0.45,0.47,2019-04-01,0609,N,VIIRS,n,1,291.41,3.43,D,0
15.174109,101.08403,343.38,0.4,0.44,2019-04-01,0609,N,VIIRS,n,1,301.35,45.23,D,0
15.047148,100.351707,338.27,0.44,0.46,2019-04-01,0609,N,VIIRS,n,1,294.49,3.11,D,0
14.963906,99.86953,344.49,0.48,0.48,2019-04-01,0609,N,VIIRS,n,1,297.18,6.29,D,0
15.089058,100.511688,340.22,0.43,0.46,2019-04-01,0609,N,VIIRS,n,1,293.31,4.58,D,0
15.651733,103.688049,346.05,0.43,0.38,2019-04-01,0609,N,VIIRS,n,1,305.2,12.92,D,0
14.748019,98.441605,331.09,0.6,0.53,2019-04-01,0609,N,VIIRS,n,1,292.16,3.96,D,0
14.77366,98.498749,346.68,0.59,0.53,2019-04-01,0609,N,VIIRS,n,1,293.05,14.38,D,0
14.772731,98.493752,340.26,0.59,0.53,2019-04-01,0609,N,VIIRS,n,1,290.38,14.38,D,0
